	question	label	category
0	我听说过唐岐山，他是中国人并且出生在河南开封。但是，我想了解有关他出生和去世的具体日期，还有他在‘文化大革命’中的罪行。	检索	检索
1	耿楠是一位在电视剧中有着出色表现的女演员，她在表演上展示出了非凡的才话。耿楠是中国人，出生在北京，她的星座是射手座me。然而，我不记得她的体重是多少，她的签约公司是哪家，以及她的代表作是什么。你能告诉我么麽？	检索	检索
2	圆明园的开放时间是什么时候？	检索	检索
3	周穆王在位多少年？	检索	检索
4	桥本凉是一位日本的小演员和歌手，那么他的血型和身高是多少，他的出生地在哪里，又是在哪个公司工作的呢？他最喜欢的运动和特长是什么？	检索	检索
5	关于孝明天皇，我对他的生平感到深深的敬仰。他shì如何顺利继位的，为何他只做了35岁就去世了，他的遗体又被埋在哪了，他的父亲和母亲又shi谁，请你帮我解x答。	检索	检索
6	说起中国的游泳运动员，我必须提到张丰林，他出生于青岛，是一位出色的游泳运动员。他以优秀的实力和拼搏精神，在不断的比赛中证明了自己。不过，我不确定他的具体身高和体重是多少，同时也对他在2010年广州亚运会上的奖项感到好奇。	检索	检索
7	何穗参演过什么电视剧？	检索	检索
8	我想知道更多关于水谷心音的信息，像是她的个人资料，血型，身高以及三围等。但我不确定我记的是否正确，所以我不知是否可以请你帮我确认一下呢？	检索	检索
9	我想了解一个人，他是日本的历史菜家加藤繁，我知道他的国籍是日本，他的民族是大和民族，他的出生地是日本岛根县松江，他在1880年9月3日出生，1946年3月7日去世。他的职业是历史菜家，他毕业于东京帝国大学(现东京大学)，他被誉为日本研究中国经济史的第一人，他的代表作品有《唐宋时代金银之研究》和《中国经济史研究》。但我希望你能帮我确定他的籍贯，出生年月，去世年月，日语写fa，假名和蹄文式罗马字可否？	检索	检索
10	我紀得许俊豪是多艺的艺人一位，具备歌手、演员和模特的身份。但我的对他的星座、所擅长的yuy、音乐类型以及他的出道时间等相关的信息了解甚俢。我很希望你可以提供这些方面的详细信息以便我更好的了解他。	检索	检索
11	昕升的最高学位是什么？	检索	检索
